Rigid	Elast	Dens
1000	99	25.3
1112	173	28.2
1033	188	28.6
1087	133	29.1
1069	146	30.7
925	91	31.4
1306	188	32.5
1306	194	36.8
1323	195	37.1
1379	177	38.3
1332	182	39
1254	110	39.6
1587	203	40.1
1145	193	40.3
1438	167	40.3
1281	188	40.6
1595	238	42.3
1129	130	42.4
1492	189	42.5
1605	213	43
1647	165	43
1539	210	46.7
1706	224	49
1728	228	50.2
1703	209	50.3
1897	240	50.3
1822	248	51.3
2129	261	51.7
2053	245	52.8
1676	186	53.8
1621	188	53.9
1990	252	54.9
1764	222	55.1
1909	244	55.2
2086	274	55.3
1916	276	56.9
1889	254	57.3
1870	238	58.3
2036	264	58.6
2570	189	58.7
1474	223	59.5
2116	245	60.8
2054	272	61.3
1994	264	61.5
1746	196	63.2
2604	268	63.3
1767	205	68.1
2649	346	68.9
2159	246	68.9
